('M0P1', 'M0P2') [[30.496181]]
('N53', 'N229') [[18.72698]]
('N53', 'N222') [[18.725054]]
('N53', 'N123') [[18.723623]]
('N67', 'N68') [[18.72055]]
('N152', 'N229') [[18.720497]]
('N72', 'N143') [[18.718737]]
('N54', 'N175') [[18.717758]]
('N3', 'N67') [[18.717525]]
('N75', 'N88') [[18.716183]]
('N14', 'N67') [[18.7151]]
('N58', 'N115') [[18.711567]]
('N102', 'N231') [[18.711557]]
('N17', 'N54') [[18.711279]]
('N152', 'N172') [[18.70711]]
('N53', 'N106') [[18.705643]]
('N39', 'N55') [[18.70476]]
('N14', 'N152') [[18.704437]]
('N61', 'N143') [[18.703854]]
('N82', 'N106') [[18.703627]]
('N14', 'N68') [[18.699894]]
('N105', 'N222') [[18.699879]]
('N182', 'N190') [[18.698828]]
('N106', 'N173') [[18.698261]]
('N53', 'N88') [[18.69744]]
('N99', 'N176') [[18.696947]]
('N22', 'N172') [[18.696592]]
('N68', 'N156') [[18.696241]]
('N54', 'N239') [[18.695684]]
('N88', 'N156') [[18.695175]]
('N39', 'N201') [[18.693918]]
('N129', 'N231') [[18.69327]]
('N151', 'N198') [[18.692099]]
('N173', 'N196') [[18.69001]]
('N3', 'N21') [[18.688492]]
('N22', 'N230') [[18.68838]]
('N21', 'N88') [[18.687664]]
('N177', 'N189') [[18.68629]]
('N88', 'N231') [[18.6855]]
('N88', 'N222') [[18.683792]]
('N80', 'N172') [[18.683144]]
('N106', 'N159') [[18.68082]]
('N198', 'N235') [[18.679417]]
('N61', 'N144') [[18.6783]]
('N73', 'N106') [[18.67777]]
('N88', 'N176') [[18.675814]]
('N14', 'N198') [[18.67519]]
('N54', 'N187') [[18.67304]]
('N23', 'N106') [[18.672035]]
('N59', 'N239') [[18.671766]]
('N198', 'N239') [[18.671453]]
('N74', 'N198') [[18.66984]]
('N181', 'N239') [[18.669739]]
('N123', 'N151') [[18.668415]]
('N102', 'N152') [[18.66664]]
('N72', 'N172') [[18.664972]]
('N141', 'N182') [[18.663939]]
('N61', 'N226') [[18.66233]]
('N172', 'N233') [[18.662136]]
('N21', 'N120') [[18.66195]]
('N176', 'N222') [[18.658514]]
('N89', 'N198') [[18.658438]]
('N54', 'N184') [[18.65795]]
('N23', 'N189') [[18.657017]]
('N143', 'N229') [[18.656792]]
('N68', 'N70') [[18.656763]]
('N22', 'N233') [[18.655718]]
('N152', 'N223') [[18.655249]]
('N172', 'N241') [[18.654861]]
('N142', 'N208') [[18.654066]]
('N129', 'N165') [[18.65209]]
('N13', 'N88') [[18.65113]]
('N172', 'N244') [[18.650362]]
('N82', 'N198') [[18.649817]]
('N106', 'N216') [[18.649729]]
('N129', 'N144') [[18.649286]]
('N88', 'N172') [[18.647959]]
('N14', 'N231') [[18.647276]]
('N106', 'N201') [[18.6452]]
('N12', 'N88') [[18.64504]]
('N7', 'N88') [[18.644804]]
('N67', 'N182') [[18.64447]]
('N74', 'N106') [[18.643766]]
('N106', 'N179') [[18.642956]]
('N51', 'N152') [[18.641386]]
('N177', 'N201') [[18.639805]]
('N68', 'N82') [[18.639317]]
('N183', 'N230') [[18.638538]]
('N17', 'N152') [[18.637995]]
('N88', 'N114') [[18.636192]]
('N54', 'N85') [[18.633865]]
('N106', 'N226') [[18.633371]]
('N123', 'N148') [[18.632954]]
('N32', 'N162') [[18.631804]]
('N106', 'N181') [[18.631462]]
('N86', 'N231') [[18.63056]]
('N67', 'N230') [[18.630123]]
('N102', 'N120') [[18.630033]]
('N8', 'N212') [[18.629963]]
('N182', 'N239') [[18.629948]]
('N85', 'N231') [[18.627092]]
('N68', 'N229') [[18.626974]]
('N39', 'N88') [[18.62462]]
('N123', 'N201') [[18.624018]]
('N58', 'N230') [[18.623516]]
('N231', 'N239') [[18.621494]]
('N182', 'N198') [[18.621431]]
('N105', 'N165') [[18.619925]]
('N79', 'N241') [[18.61989]]
('N88', 'N137') [[18.618525]]
('N70', 'N230') [[18.617569]]
('N201', 'N229') [[18.616695]]
('N68', 'N69') [[18.61618]]
('N34', 'N53') [[18.61452]]
('N152', 'N190') [[18.614511]]
('N74', 'N196') [[18.614183]]
('N201', 'N241') [[18.613932]]
('N51', 'N88') [[18.613115]]
('N173', 'N190') [[18.613018]]
('N88', 'N218') [[18.610998]]
('N61', 'N168') [[18.610762]]
('N107', 'N152') [[18.609943]]
('N61', 'N237') [[18.609434]]
('N61', 'N66') [[18.609413]]
('N150', 'N198') [[18.60825]]
('N53', 'N105') [[18.607943]]
('N53', 'N158') [[18.60747]]
('N54', 'N67') [[18.607456]]
('N90', 'N152') [[18.607279]]
('N201', 'N219') [[18.60666]]
('N214', 'N231') [[18.60655]]
('N182', 'N226') [[18.606089]]
('N55', 'N136') [[18.60534]]
('N53', 'N198') [[18.604805]]
('N88', 'N247') [[18.6047]]
('N120', 'N241') [[18.6045]]
('N152', 'N173') [[18.60448]]
('N54', 'N58') [[18.602762]]
('N212', 'N239') [[18.60197]]
('N126', 'N181') [[18.601954]]
('N54', 'N79') [[18.601091]]
('N73', 'N123') [[18.600647]]
('N120', 'N172') [[18.599276]]
('N68', 'N231') [[18.598848]]
('N92', 'N196') [[18.598541]]
('N23', 'N197') [[18.59812]]
('N34', 'N155') [[18.593842]]
('N106', 'N241') [[18.593813]]
('N61', 'N73') [[18.59286]]
('N69', 'N152') [[18.59278]]
('N82', 'N226') [[18.5907]]
('N61', 'N241') [[18.589455]]
('N68', 'N182') [[18.588318]]
('N15', 'N67') [[18.587322]]
('N68', 'N230') [[18.58535]]
('N23', 'N126') [[18.583754]]
('N212', 'N245') [[18.582457]]
('N26', 'N53') [[18.581354]]
('N39', 'N112') [[18.580961]]
('N105', 'N198') [[18.5802]]
('N19', 'N140') [[18.580172]]
('N123', 'N241') [[18.580112]]
('N216', 'N226') [[18.578749]]
('N54', 'N158') [[18.578726]]
('N92', 'N230') [[18.577126]]
('N26', 'N88') [[18.57646]]
('N105', 'N189') [[18.575706]]
('N196', 'N231') [[18.572134]]
('N123', 'N172') [[18.571848]]
('N105', 'N241') [[18.570303]]
('N88', 'N234') [[18.57]]
('N74', 'N177') [[18.569971]]
('N17', 'N159') [[18.567308]]
('N176', 'N184') [[18.567272]]
('N102', 'N115') [[18.566076]]
('N177', 'N219') [[18.564344]]
('N14', 'N54') [[18.56355]]
('N123', 'N222') [[18.563053]]
('N32', 'N73') [[18.56294]]
('N56', 'N222') [[18.56009]]
('N22', 'N244') [[18.560066]]
('N115', 'N222') [[18.559835]]
('N106', 'N112') [[18.559433]]
('N67', 'N172') [[18.55861]]
('N172', 'N201') [[18.558107]]
('N23', 'N240') [[18.558077]]
('N88', 'N237') [[18.557756]]
('N54', 'N73') [[18.55678]]
('N88', 'N169') [[18.556578]]
('N165', 'N169') [[18.553709]]
('N89', 'N177') [[18.552225]]
('N52', 'N58') [[18.550936]]
('N144', 'N152') [[18.550434]]
