('M0P1', 'M0P2') [[30.496181]]
('N128', 'N196') [[18.019867]]
('N198', 'N220') [[18.019796]]
('N75', 'N159') [[18.01976]]
('N166', 'N177') [[18.019327]]
('N7', 'N114') [[18.01914]]
('N152', 'N221') [[18.019104]]
('N144', 'N162') [[18.019102]]
('N14', 'N22') [[18.019016]]
('N99', 'N118') [[18.018818]]
('N17', 'N251') [[18.0187]]
('N196', 'N253') [[18.018673]]
('N19', 'N244') [[18.01864]]
('N143', 'N245') [[18.018585]]
('N21', 'N112') [[18.018559]]
('N32', 'N191') [[18.018337]]
('N33', 'N182') [[18.018267]]
('N146', 'N245') [[18.01817]]
('N187', 'N216') [[18.018099]]
('N159', 'N241') [[18.018055]]
('N126', 'N136') [[18.018026]]
('N33', 'N177') [[18.017973]]
('N53', 'N219') [[18.01795]]
('N23', 'N84') [[18.01788]]
('N3', 'N230') [[18.01783]]
('N105', 'N237') [[18.017717]]
('N74', 'N219') [[18.017633]]
('N189', 'N232') [[18.017595]]
('N8', 'N176') [[18.017555]]
('N41', 'N129') [[18.017323]]
('N32', 'N153') [[18.016964]]
('N148', 'N237') [[18.016823]]
('N160', 'N201') [[18.016756]]
('N13', 'N230') [[18.016737]]
('N156', 'N201') [[18.016666]]
('N56', 'N239') [[18.016413]]
('N52', 'N53') [[18.016357]]
('N42', 'N124') [[18.016188]]
('N12', 'N112') [[18.015985]]
('N31', 'N88') [[18.01597]]
('N8', 'N239') [[18.01586]]
('N14', 'N39') [[18.015816]]
('N17', 'N30') [[18.015799]]
('N22', 'N198') [[18.015785]]
('N79', 'N102') [[18.015766]]
('N141', 'N234') [[18.01559]]
('N55', 'N190') [[18.015547]]
('N22', 'N73') [[18.015501]]
('N17', 'N149') [[18.015274]]
('N82', 'N86') [[18.015188]]
('N115', 'N139') [[18.015144]]
('N122', 'N198') [[18.014908]]
('N54', 'N247') [[18.014778]]
('N229', 'N232') [[18.014723]]
('N73', 'N130') [[18.01467]]
('N53', 'N71') [[18.014597]]
('N5', 'N82') [[18.014496]]
('N173', 'N182') [[18.014315]]
('N11', 'N105') [[18.013988]]
('N142', 'N239') [[18.01385]]
('N139', 'N142') [[18.013706]]
('N5', 'N106') [[18.013577]]
('N56', 'N80') [[18.01339]]
('N22', 'N105') [[18.013212]]
('N55', 'N177') [[18.01313]]
('N105', 'N242') [[18.01265]]
('N65', 'N251') [[18.012619]]
('N56', 'N229') [[18.012585]]
('N129', 'N201') [[18.012548]]
('N67', 'N196') [[18.01242]]
('N158', 'N189') [[18.012331]]
('N55', 'N198') [[18.012142]]
('N106', 'N128') [[18.011234]]
('N223', 'N237') [[18.011198]]
('N74', 'N118') [[18.011084]]
('N87', 'N156') [[18.010994]]
('N22', 'N145') [[18.010777]]
('N39', 'N165') [[18.010708]]
('N87', 'N106') [[18.01068]]
('N79', 'N88') [[18.010557]]
('N196', 'N245') [[18.01048]]
('N156', 'N237') [[18.010262]]
('N169', 'N245') [[18.010193]]
('N167', 'N177') [[18.010023]]
('N9', 'N17') [[18.010017]]
('N16', 'N114') [[18.009987]]
('N32', 'N69') [[18.009962]]
('N92', 'N198') [[18.009668]]
('N55', 'N143') [[18.00948]]
('N58', 'N149') [[18.009167]]
('N142', 'N230') [[18.009115]]
('N58', 'N158') [[18.008856]]
('N143', 'N158') [[18.008816]]
('N149', 'N238') [[18.008657]]
('N60', 'N168') [[18.008656]]
('N198', 'N208') [[18.008602]]
('N1', 'N214') [[18.00859]]
('N72', 'N142') [[18.008444]]
('N34', 'N67') [[18.008184]]
('N197', 'N241') [[18.008102]]
('N74', 'N188') [[18.007868]]
('N88', 'N126') [[18.007471]]
('N158', 'N207') [[18.007305]]
('N14', 'N138') [[18.00727]]
('N19', 'N93') [[18.007137]]
('N139', 'N171') [[18.007]]
('N181', 'N198') [[18.006798]]
('N65', 'N143') [[18.006413]]
('N136', 'N198') [[18.006403]]
('N54', 'N89') [[18.006334]]
('N171', 'N177') [[18.006248]]
('N143', 'N235') [[18.00572]]
('N139', 'N219') [[18.005692]]
('N88', 'N195') [[18.00569]]
('N172', 'N219') [[18.005638]]
('N156', 'N221') [[18.005585]]
('N152', 'N197') [[18.00538]]
('N172', 'N232') [[18.005163]]
('N23', 'N229') [[18.005123]]
('N160', 'N208') [[18.0044]]
('N222', 'N241') [[18.003994]]
('N7', 'N152') [[18.003721]]
('N168', 'N226') [[18.003433]]
('N21', 'N197') [[18.003433]]
('N186', 'N198') [[18.003195]]
('N185', 'N231') [[18.00317]]
('N126', 'N196') [[18.003162]]
('N53', 'N78') [[18.003109]]
('N53', 'N167') [[18.002691]]
('N5', 'N172') [[18.002405]]
('N185', 'N208') [[18.002193]]
('N49', 'N152') [[18.002014]]
('N178', 'N239') [[18.00192]]
('N69', 'N245') [[18.001795]]
('N54', 'N101') [[18.001572]]
('N24', 'N68') [[18.00117]]
('N106', 'N130') [[18.001007]]
('N56', 'N241') [[18.000515]]
('N120', 'N182') [[18.000185]]
('N143', 'N182') [[17.999968]]
('N14', 'N149') [[17.999878]]
('N197', 'N214') [[17.999716]]
('N19', 'N102') [[17.999699]]
('N82', 'N152') [[17.9996]]
('N54', 'N55') [[17.999573]]
('N92', 'N250') [[17.99934]]
('N21', 'N214') [[17.9993]]
('N142', 'N240') [[17.999048]]
('N144', 'N197') [[17.999043]]
('N86', 'N99') [[17.998896]]
('N104', 'N232') [[17.998787]]
('N187', 'N208') [[17.998594]]
('N34', 'N74') [[17.998592]]
('N56', 'N129') [[17.998434]]
('N72', 'N79') [[17.998285]]
('N67', 'N237') [[17.99805]]
('N74', 'N208') [[17.998043]]
('N16', 'N22') [[17.99766]]
('N69', 'N244') [[17.997025]]
('N43', 'N173') [[17.996828]]
('N68', 'N196') [[17.996647]]
('N3', 'N42') [[17.996164]]
('N40', 'N173') [[17.996096]]
('N13', 'N105') [[17.996021]]
('N33', 'N173') [[17.995821]]
('N1', 'N117') [[17.995792]]
('N57', 'N190') [[17.995708]]
('N22', 'N228') [[17.995646]]
('N40', 'N172') [[17.99562]]
('N8', 'N234') [[17.995407]]
('N152', 'N239') [[17.995142]]
('N97', 'N201') [[17.995136]]
('N88', 'N249') [[17.994968]]
('N53', 'N231') [[17.994902]]
('N141', 'N142') [[17.99462]]
('N23', 'N77') [[17.994137]]
('N177', 'N183') [[17.994131]]
('N8', 'N52') [[17.99402]]
('N166', 'N230') [[17.994003]]
('N73', 'N172') [[17.993986]]
('N69', 'N75') [[17.993896]]
('N169', 'N187') [[17.993626]]
('N92', 'N219') [[17.993595]]
('N85', 'N152') [[17.993517]]
('N53', 'N74') [[17.993465]]
('N3', 'N223') [[17.993263]]
('N58', 'N183') [[17.993156]]
('N54', 'N155') [[17.993015]]
('N138', 'N172') [[17.992586]]
('N166', 'N184') [[17.992525]]
('N217', 'N242') [[17.992521]]
('N31', 'N72') [[17.992472]]
('N31', 'N171') [[17.992386]]
('N99', 'N229') [[17.992311]]
('N60', 'N61') [[17.991962]]
('N105', 'N252') [[17.99195]]
('N31', 'N182') [[17.99189]]
('N120', 'N214') [[17.991877]]
('N95', 'N191') [[17.99187]]
('N72', 'N177') [[17.991537]]
('N137', 'N190') [[17.991419]]
('N118', 'N201') [[17.991169]]
('N60', 'N251') [[17.99111]]
('N166', 'N182') [[17.991028]]
('N52', 'N89') [[17.990911]]
('N67', 'N176') [[17.990805]]
('N163', 'N216') [[17.990776]]
('N115', 'N183') [[17.990147]]
('N201', 'N231') [[17.990145]]
('N17', 'N210') [[17.989534]]
('N76', 'N182') [[17.989487]]
('N17', 'N187') [[17.989258]]
('N72', 'N244') [[17.989256]]
('N99', 'N239') [[17.988907]]
('N168', 'N247') [[17.988886]]
('N169', 'N196') [[17.988457]]
('N232', 'N237') [[17.98837]]
('N69', 'N190') [[17.988289]]
('N21', 'N142') [[17.988241]]
('N75', 'N182') [[17.988237]]
('N23', 'N219') [[17.987982]]
('N86', 'N143') [[17.98796]]
('N65', 'N239') [[17.987728]]
('N168', 'N230') [[17.987719]]
('N61', 'N122') [[17.987589]]
('N34', 'N144') [[17.987564]]
('N84', 'N230') [[17.987484]]
('N82', 'N168') [[17.987411]]
('N78', 'N167') [[17.98733]]
('N58', 'N229') [[17.987242]]
('N70', 'N246') [[17.987167]]
('N52', 'N181') [[17.986773]]
('N53', 'N181') [[17.986547]]
('N143', 'N162') [[17.986502]]
('N216', 'N231') [[17.986496]]
('N54', 'N244') [[17.98642]]
('N82', 'N118') [[17.986164]]
('N61', 'N187') [[17.986008]]
('N79', 'N87') [[17.985914]]
('N1', 'N68') [[17.985697]]
('N118', 'N162') [[17.985691]]
('N19', 'N173') [[17.985504]]
('N3', 'N201') [[17.98536]]
('N74', 'N234') [[17.985088]]
('N111', 'N230') [[17.985004]]
('N33', 'N231') [[17.984875]]
('N64', 'N189') [[17.984816]]
('N39', 'N130') [[17.984673]]
('N17', 'N190') [[17.984581]]
('N139', 'N186') [[17.98458]]
('N61', 'N197') [[17.984543]]
('N56', 'N212') [[17.98437]]
('N75', 'N136') [[17.984337]]
('N17', 'N49') [[17.984245]]
('N34', 'N70') [[17.983997]]
('N105', 'N201') [[17.983969]]
('N18', 'N176') [[17.983898]]
('N181', 'N222') [[17.983816]]
('N61', 'N84') [[17.983696]]
('N123', 'N208') [[17.983456]]
('N106', 'N115') [[17.98338]]
('N138', 'N231') [[17.982893]]
('N85', 'N126') [[17.982805]]
('N129', 'N228') [[17.982777]]
('N163', 'N173') [[17.982677]]
('N68', 'N155') [[17.982655]]
('N177', 'N235') [[17.982346]]
('N12', 'N126') [[17.982332]]
('N59', 'N105') [[17.982225]]
('N39', 'N162') [[17.982002]]
('N170', 'N201') [[17.98198]]
('N56', 'N158') [[17.981611]]
('N82', 'N126') [[17.981588]]
('N21', 'N223') [[17.981482]]
('N21', 'N181') [[17.981369]]
('N94', 'N198') [[17.98128]]
('N39', 'N89') [[17.981071]]
('N196', 'N252') [[17.980968]]
('N166', 'N212') [[17.980968]]
('N34', 'N139') [[17.980507]]
('N73', 'N87') [[17.980488]]
('N177', 'N191') [[17.980278]]
('N38', 'N52') [[17.980158]]
('N216', 'N247') [[17.97999]]
('N171', 'N222') [[17.979654]]
('N123', 'N168') [[17.979506]]
('N22', 'N67') [[17.979473]]
('N72', 'N198') [[17.9794]]
('N3', 'N162') [[17.979284]]
('N54', 'N227') [[17.979113]]
('N67', 'N165') [[17.979055]]
('N17', 'N51') [[17.978907]]
('N19', 'N196') [[17.978899]]
('N100', 'N181') [[17.978865]]
('N73', 'N216') [[17.978731]]
('N232', 'N239') [[17.978401]]
('N15', 'N53') [[17.978313]]
('N106', 'N211') [[17.978212]]
('N68', 'N239') [[17.978136]]
('N73', 'N239') [[17.977964]]
('N65', 'N79') [[17.977674]]
('N68', 'N207') [[17.977604]]
('N68', 'N139') [[17.977541]]
('N19', 'N136') [[17.9775]]
('N50', 'N188') [[17.977293]]
('N49', 'N105') [[17.977217]]
('N208', 'N242') [[17.976995]]
('N58', 'N118') [[17.976831]]
('N42', 'N52') [[17.976639]]
('N174', 'N231') [[17.976551]]
('N88', 'N188') [[17.976095]]
('N2', 'N207') [[17.97589]]
('N198', 'N201') [[17.97578]]
('N105', 'N173') [[17.975647]]
('N159', 'N176') [[17.975607]]
('N113', 'N173') [[17.975552]]
('N136', 'N151') [[17.975523]]
('N102', 'N239') [[17.975403]]
('N34', 'N123') [[17.975267]]
('N68', 'N72') [[17.97525]]
('N99', 'N230') [[17.975105]]
('N68', 'N133') [[17.974977]]
('N120', 'N246') [[17.974936]]
('N161', 'N216') [[17.9748]]
('N9', 'N54') [[17.974623]]
('N139', 'N240') [[17.974583]]
('N19', 'N162') [[17.974493]]
('N15', 'N172') [[17.974491]]
('N193', 'N231') [[17.974464]]
('N138', 'N216') [[17.974209]]
('N45', 'N177') [[17.97418]]
('N58', 'N86') [[17.974173]]
('N29', 'N40') [[17.974123]]
('N29', 'N67') [[17.973827]]
('N115', 'N244') [[17.973818]]
('N21', 'N244') [[17.973812]]
('N3', 'N246') [[17.973604]]
('N216', 'N233') [[17.973366]]
('N3', 'N90') [[17.97331]]
('N16', 'N105') [[17.973307]]
('N1', 'N115') [[17.973293]]
('N37', 'N123') [[17.973188]]
('N196', 'N234') [[17.9731]]
('N25', 'N247') [[17.973032]]
('N146', 'N241') [[17.972778]]
('N122', 'N250') [[17.972708]]
('N74', 'N241') [[17.972616]]
('N53', 'N153') [[17.972614]]
('N198', 'N214') [[17.972507]]
('N74', 'N203') [[17.972504]]
('N229', 'N233') [[17.972374]]
('N152', 'N249') [[17.972332]]
('N61', 'N130') [[17.972303]]
('N82', 'N117') [[17.972075]]
('N105', 'N225') [[17.971767]]
('N41', 'N106') [[17.971706]]
('N99', 'N222') [[17.9716]]
('N5', 'N251') [[17.971241]]
('N33', 'N234') [[17.971151]]
('N114', 'N172') [[17.971014]]
('N54', 'N171') [[17.970982]]
('N19', 'N26') [[17.970802]]
('N152', 'N165') [[17.970644]]
('N173', 'N245') [[17.970007]]
('N59', 'N244') [[17.96999]]
('N56', 'N251') [[17.969923]]
('N39', 'N166') [[17.9699]]
('N168', 'N174') [[17.969856]]
('N54', 'N154') [[17.969692]]
('N68', 'N93') [[17.969654]]
('N150', 'N197') [[17.96946]]
('N144', 'N201') [[17.96946]]
('N161', 'N235') [[17.969408]]
('N196', 'N249') [[17.969175]]
('N158', 'N198') [[17.969093]]
('N33', 'N106') [[17.968985]]
('N137', 'N176') [[17.968756]]
('N88', 'N242') [[17.968649]]
('N53', 'N232') [[17.968615]]
('N142', 'N219') [[17.968485]]
('N93', 'N142') [[17.968485]]
('N3', 'N106') [[17.968058]]
('N67', 'N103') [[17.967945]]
('N12', 'N106') [[17.967676]]
('N14', 'N43') [[17.967594]]
('N177', 'N218') [[17.967588]]
('N2', 'N237') [[17.967537]]
('N172', 'N174') [[17.967466]]
('N102', 'N165') [[17.967323]]
('N39', 'N86') [[17.967255]]
('N73', 'N232') [[17.967237]]
('N52', 'N129') [[17.967033]]
('N105', 'N238') [[17.96689]]
('N2', 'N165') [[17.966663]]
('N12', 'N190') [[17.96657]]
('N222', 'N231') [[17.966427]]
('N34', 'N56') [[17.966278]]
('N68', 'N75') [[17.966148]]
('N65', 'N67') [[17.966122]]
('N34', 'N174') [[17.966087]]
('N175', 'N184') [[17.96598]]
('N143', 'N163') [[17.965961]]
('N133', 'N173') [[17.965933]]
('N112', 'N226') [[17.96588]]
('N33', 'N53') [[17.965866]]
('N68', 'N214') [[17.965612]]
('N51', 'N173') [[17.965603]]
('N159', 'N220') [[17.965115]]
('N73', 'N181') [[17.96491]]
('N32', 'N154') [[17.964827]]
('N3', 'N73') [[17.964775]]
('N12', 'N74') [[17.964582]]
('N182', 'N207') [[17.96449]]
('N54', 'N124') [[17.964455]]
('N183', 'N219') [[17.96445]]
('N12', 'N243') [[17.964336]]
('N169', 'N234') [[17.96416]]
('N21', 'N49') [[17.964151]]
('N42', 'N229') [[17.964088]]
('N184', 'N201') [[17.963585]]
('N23', 'N118') [[17.963566]]
('N171', 'N240') [[17.963503]]
('N112', 'N129') [[17.963446]]
('N68', 'N84') [[17.963116]]
('N69', 'N103') [[17.963005]]
('N136', 'N142') [[17.962908]]
('N102', 'N182') [[17.96262]]
('N76', 'N241') [[17.962612]]
('N3', 'N52') [[17.96259]]
('N106', 'N249') [[17.962523]]
('N75', 'N151') [[17.962355]]
('N39', 'N100') [[17.962076]]
('N129', 'N176') [[17.962034]]
('N9', 'N244') [[17.962015]]
('N143', 'N189') [[17.961996]]
('N75', 'N237') [[17.961796]]
('N43', 'N144') [[17.961718]]
('N139', 'N146') [[17.961369]]
('N34', 'N95') [[17.961369]]
('N89', 'N120') [[17.961336]]
('N68', 'N208') [[17.961021]]
('N107', 'N172') [[17.960865]]
('N143', 'N204') [[17.960855]]
('N100', 'N173') [[17.960743]]
('N68', 'N96') [[17.960546]]
('N114', 'N240') [[17.96034]]
('N51', 'N114') [[17.960333]]
('N39', 'N179') [[17.959867]]
('N60', 'N198') [[17.959772]]
('N46', 'N73') [[17.959116]]
('N232', 'N247') [[17.95907]]
('N23', 'N187') [[17.959051]]
('N24', 'N245') [[17.958588]]
('N67', 'N190') [[17.958517]]
('N33', 'N79') [[17.95846]]
('N19', 'N23') [[17.957973]]
('N136', 'N191') [[17.957674]]
('N1', 'N182') [[17.957338]]
('N61', 'N189') [[17.957285]]
('N118', 'N197') [[17.957188]]
('N63', 'N170') [[17.956858]]
('N39', 'N136') [[17.956835]]
('N120', 'N134') [[17.956812]]
('N193', 'N226') [[17.956755]]
('N12', 'N61') [[17.956566]]
('N88', 'N107') [[17.956451]]
('N87', 'N88') [[17.956408]]
('N217', 'N230') [[17.956264]]
('N130', 'N230') [[17.95621]]
('N118', 'N174') [[17.956018]]
('N55', 'N239') [[17.955961]]
('N69', 'N201') [[17.955929]]
('N129', 'N130') [[17.955769]]
('N88', 'N191') [[17.955723]]
('N0', 'N230') [[17.955637]]
('N52', 'N207') [[17.95559]]
('N201', 'N226') [[17.955559]]
('N74', 'N169') [[17.955482]]
('N182', 'N237') [[17.955437]]
('N108', 'N240') [[17.955353]]
('N42', 'N58') [[17.95499]]
('N106', 'N250') [[17.954882]]
('N88', 'N203') [[17.954857]]
('N168', 'N241') [[17.954662]]
('N143', 'N215') [[17.954504]]
('N58', 'N126') [[17.954233]]
('N173', 'N234') [[17.9541]]
('N61', 'N247') [[17.954075]]
('N54', 'N251') [[17.954058]]
('N19', 'N239') [[17.953917]]
('N201', 'N250') [[17.953608]]
('N154', 'N159') [[17.953573]]
('N34', 'N185') [[17.95341]]
('N24', 'N190') [[17.953264]]
('N5', 'N185') [[17.953247]]
('N75', 'N230') [[17.953182]]
('N39', 'N184') [[17.953175]]
('N24', 'N120') [[17.953058]]
('N13', 'N59') [[17.952993]]
('N17', 'N244') [[17.952766]]
('N177', 'N229') [[17.95236]]
('N106', 'N118') [[17.952248]]
('N58', 'N200') [[17.951824]]
('N190', 'N244') [[17.951752]]
('N40', 'N54') [[17.951565]]
('N42', 'N196') [[17.951424]]
('N127', 'N190') [[17.951298]]
('N181', 'N209') [[17.951096]]
('N14', 'N85') [[17.951067]]
('N39', 'N203') [[17.950932]]
('N105', 'N232') [[17.950882]]
('N66', 'N139') [[17.950819]]
('N139', 'N185') [[17.950632]]
('N207', 'N212') [[17.950619]]
('N115', 'N159') [[17.95057]]
('N149', 'N235') [[17.950346]]
('N22', 'N80') [[17.949982]]
('N83', 'N102') [[17.949896]]
('N46', 'N220') [[17.949682]]
('N72', 'N247') [[17.949656]]
('N123', 'N137') [[17.949636]]
('N168', 'N177') [[17.949467]]
('N68', 'N143') [[17.949398]]
('N74', 'N228') [[17.949184]]
('N186', 'N222') [[17.949093]]
('N54', 'N190') [[17.948738]]
('N168', 'N196') [[17.94861]]
('N130', 'N177') [[17.948189]]
('N152', 'N210') [[17.948116]]
('N123', 'N230') [[17.948067]]
('N72', 'N168') [[17.947992]]
('N208', 'N239') [[17.94796]]
('N22', 'N156') [[17.947945]]
('N102', 'N251') [[17.947695]]
('N155', 'N159') [[17.947662]]
('N155', 'N156') [[17.94749]]
('N181', 'N197') [[17.94746]]
('N133', 'N180') [[17.947252]]
('N235', 'N239') [[17.947123]]
('N52', 'N95') [[17.947023]]
('N22', 'N155') [[17.946901]]
('N80', 'N196') [[17.94688]]
('N129', 'N175') [[17.946823]]
('N85', 'N230') [[17.946724]]
('N163', 'N172') [[17.946474]]
('N97', 'N143') [[17.94644]]
('N179', 'N180') [[17.946384]]
('N114', 'N120') [[17.946285]]
('N11', 'N58') [[17.94624]]
('N3', 'N25') [[17.946064]]
('N115', 'N185') [[17.945868]]
('N12', 'N141') [[17.945755]]
('N19', 'N247') [[17.945726]]
('N32', 'N182') [[17.945396]]
('N67', 'N129') [[17.945024]]
('N7', 'N239') [[17.944946]]
('N53', 'N221') [[17.9445]]
('N184', 'N245') [[17.944014]]
('N55', 'N152') [[17.943804]]
('N101', 'N172') [[17.943766]]
('N15', 'N225') [[17.943727]]
('N11', 'N74') [[17.943619]]
('N24', 'N160') [[17.943335]]
('N133', 'N251') [[17.943329]]
('N13', 'N152') [[17.943077]]
('N158', 'N250') [[17.943007]]
('N73', 'N78') [[17.942844]]
('N33', 'N240') [[17.942844]]
('N92', 'N105') [[17.94284]]
('N198', 'N217') [[17.942513]]
('N1', 'N66') [[17.94242]]
('N53', 'N82') [[17.94207]]
('N197', 'N231') [[17.94196]]
('N73', 'N205') [[17.941769]]
('N34', 'N219') [[17.941713]]
('N181', 'N196') [[17.941687]]
('N61', 'N193') [[17.94143]]
('N154', 'N172') [[17.941387]]
('N114', 'N181') [[17.941296]]
('N79', 'N184') [[17.940783]]
('N7', 'N229') [[17.940447]]
('N18', 'N137') [[17.940441]]
('N70', 'N203') [[17.94044]]
('N67', 'N181') [[17.940262]]
('N177', 'N234') [[17.940239]]
('N164', 'N222') [[17.939922]]
('N17', 'N158') [[17.939762]]
('N39', 'N120') [[17.939753]]
('N62', 'N198') [[17.93975]]
('N32', 'N197') [[17.939697]]
('N33', 'N196') [[17.939667]]
('N103', 'N230') [[17.93957]]
('N26', 'N141') [[17.93942]]
('N176', 'N177') [[17.939402]]
('N162', 'N223') [[17.939333]]
('N58', 'N201') [[17.939255]]
('N172', 'N204') [[17.939213]]
('N0', 'N139') [[17.939213]]
('N1', 'N53') [[17.939137]]
('N56', 'N155') [[17.93905]]
('N185', 'N189') [[17.939]]
('N121', 'N239') [[17.939]]
('N89', 'N152') [[17.938717]]
('N17', 'N58') [[17.938673]]
('N49', 'N158') [[17.938507]]
('N23', 'N83') [[17.938494]]
('N72', 'N104') [[17.938473]]
('N23', 'N33') [[17.938452]]
('N16', 'N190') [[17.938353]]
('N69', 'N185') [[17.938295]]
('N114', 'N126') [[17.937975]]
('N123', 'N232') [[17.937824]]
('N5', 'N173') [[17.937757]]
('N185', 'N233') [[17.937735]]
('N26', 'N66') [[17.937675]]
('N79', 'N181') [[17.937346]]
('N54', 'N225') [[17.937317]]
('N144', 'N239') [[17.937277]]
('N52', 'N184') [[17.937262]]
('N61', 'N137') [[17.93714]]
('N1', 'N223') [[17.936789]]
('N190', 'N198') [[17.93657]]
('N22', 'N84') [[17.93646]]
('N2', 'N208') [[17.936323]]
('N52', 'N165') [[17.936296]]
('N52', 'N69') [[17.936155]]
('N126', 'N139') [[17.93591]]
('N102', 'N141') [[17.93582]]
('N21', 'N70') [[17.935808]]
('N230', 'N237') [[17.935648]]
('N45', 'N196') [[17.935432]]
('N52', 'N228') [[17.935383]]
('N31', 'N159') [[17.935373]]
('N237', 'N247') [[17.935215]]
('N114', 'N198') [[17.934965]]
('N16', 'N162') [[17.934902]]
('N106', 'N203') [[17.934834]]
('N32', 'N54') [[17.934675]]
('N193', 'N230') [[17.934618]]
('N151', 'N163') [[17.934496]]
('N39', 'N90') [[17.934383]]
('N42', 'N47') [[17.934345]]
('N198', 'N223') [[17.934309]]
('N77', 'N123') [[17.934305]]
('N74', 'N184') [[17.93409]]
('N80', 'N173') [[17.93403]]
('N105', 'N136') [[17.933805]]
('N43', 'N54') [[17.933208]]
('N172', 'N226') [[17.933098]]
('N207', 'N238') [[17.932892]]
('N130', 'N237') [[17.93277]]
('N58', 'N60') [[17.932657]]
('N24', 'N196') [[17.932629]]
('N148', 'N201') [[17.932425]]
('N182', 'N219') [[17.932228]]
('N19', 'N151') [[17.932177]]
('N22', 'N189') [[17.93208]]
('N5', 'N244') [[17.932068]]
('N69', 'N241') [[17.932058]]
('N166', 'N239') [[17.931818]]
('N155', 'N222') [[17.931702]]
('N175', 'N233') [[17.9317]]
('N50', 'N61') [[17.931606]]
('N21', 'N69') [[17.931576]]
('N58', 'N102') [[17.93142]]
('N182', 'N191') [[17.931305]]
('N17', 'N220') [[17.930567]]
('N143', 'N155') [[17.93054]]
('N69', 'N191') [[17.930498]]
('N37', 'N152') [[17.930437]]
('N81', 'N88') [[17.9304]]
('N61', 'N215') [[17.930058]]
('N16', 'N172') [[17.930027]]
('N58', 'N226') [[17.93]]
('N166', 'N173') [[17.929981]]
('N151', 'N222') [[17.929773]]
('N105', 'N203') [[17.929745]]
('N152', 'N154') [[17.929665]]
('N102', 'N171') [[17.929617]]
('N82', 'N191') [[17.92949]]
('N201', 'N246') [[17.92937]]
('N3', 'N74') [[17.929344]]
('N42', 'N216') [[17.929258]]
('N115', 'N136') [[17.929197]]
('N82', 'N89') [[17.9291]]
('N73', 'N127') [[17.928808]]
('N51', 'N129') [[17.928358]]
('N101', 'N182') [[17.928305]]
('N67', 'N79') [[17.928288]]
('N17', 'N163') [[17.928265]]
('N115', 'N142') [[17.928108]]
('N46', 'N196') [[17.928045]]
('N172', 'N208') [[17.927977]]
('N105', 'N233') [[17.927902]]
('N0', 'N222') [[17.927782]]
('N65', 'N78') [[17.927774]]
('N88', 'N141') [[17.9274]]
('N61', 'N74') [[17.927301]]
('N21', 'N94') [[17.92708]]
('N63', 'N73') [[17.927061]]
('N90', 'N226') [[17.926826]]
('N82', 'N136') [[17.926754]]
('N33', 'N245') [[17.92652]]
('N11', 'N191') [[17.926487]]
('N226', 'N241') [[17.926456]]
('N86', 'N165') [[17.926434]]
('N17', 'N29') [[17.926386]]
('N152', 'N212') [[17.926334]]
('N16', 'N181') [[17.926329]]
('N69', 'N252') [[17.92632]]
('N2', 'N39') [[17.926275]]
('N158', 'N247') [[17.92626]]
('N19', 'N41') [[17.925926]]
('N114', 'N229') [[17.92552]]
('N138', 'N152') [[17.925467]]
('N61', 'N76') [[17.92539]]
('N151', 'N247') [[17.925331]]
('N3', 'N93') [[17.925287]]
('N19', 'N223') [[17.924942]]
('N85', 'N185') [[17.924894]]
('N51', 'N252') [[17.924795]]
('N152', 'N192') [[17.924772]]
('N106', 'N144') [[17.924477]]
('N8', 'N69') [[17.92444]]
('N12', 'N223') [[17.924355]]
('N59', 'N136') [[17.92428]]
('N43', 'M0P1') [[17.924274]]
('N142', 'N251') [[17.924261]]
('N28', 'N241') [[17.923817]]
('N161', 'N214') [[17.923811]]
('N180', 'N219') [[17.923801]]
('N141', 'N148') [[17.923676]]
('N182', 'N208') [[17.923628]]
('N150', 'N226') [[17.923256]]
('N80', 'N185') [[17.923061]]
('N33', 'N172') [[17.922905]]
('N164', 'N168') [[17.922848]]
('N53', 'N126') [[17.922842]]
('N136', 'N251') [[17.922722]]
('N220', 'N230') [[17.92268]]
('N126', 'N231') [[17.922676]]
('N65', 'N225') [[17.922579]]
('N105', 'N235') [[17.922535]]
('N88', 'N100') [[17.922394]]
('N59', 'N151') [[17.922146]]
('N55', 'N219') [[17.922104]]
('N112', 'N132') [[17.921955]]
('N65', 'N186') [[17.921818]]
('N219', 'N237') [[17.92172]]
('N118', 'N244') [[17.921696]]
('N69', 'N246') [[17.921492]]
('N55', 'N231') [[17.92148]]
('N52', 'N189') [[17.921383]]
('N12', 'N35') [[17.921362]]
('N31', 'N102') [[17.921347]]
('N200', 'N240') [[17.920933]]
('N143', 'N246') [[17.920877]]
('N11', 'N152') [[17.9208]]
('N233', 'N238') [[17.92079]]
('N1', 'N19') [[17.920586]]
('N142', 'N183') [[17.920578]]
('N138', 'N191') [[17.920443]]
('N152', 'N238') [[17.920362]]
('N74', 'N231') [[17.920341]]
('N233', 'N244') [[17.920229]]
('N140', 'N201') [[17.920097]]
('N128', 'N201') [[17.920033]]
('N143', 'N226') [[17.920021]]
('N86', 'N105') [[17.919977]]
('N58', 'N173') [[17.919813]]
('N159', 'N217') [[17.91962]]
('N152', 'N171') [[17.919529]]
('N35', 'N112') [[17.919456]]
('N41', 'N105') [[17.91942]]
('N123', 'N231') [[17.919218]]
('N19', 'N73') [[17.91919]]
('N65', 'N144') [[17.91913]]
