('M0P1', 'M0P2') [[39.81325]]
('N22', 'N188') [[17.873415]]
('N162', 'N200') [[17.873278]]
('N137', 'N165') [[17.873095]]
('N91', 'N220') [[17.87301]]
('N32', 'N75') [[17.872772]]
('N59', 'N60') [[17.872719]]
('N30', 'N222') [[17.872564]]
('N16', 'N138') [[17.872536]]
('N125', 'N218') [[17.87242]]
('N176', 'N205') [[17.872263]]
('N1', 'N131') [[17.87226]]
('N117', 'N136') [[17.87215]]
('N115', 'N184') [[17.872019]]
('N7', 'N170') [[17.872011]]
('N15', 'N69') [[17.871906]]
('N47', 'N114') [[17.87184]]
('N168', 'N200') [[17.871809]]
('N21', 'N233') [[17.871784]]
('N114', 'N197') [[17.871761]]
('N18', 'N207') [[17.87166]]
('N85', 'N180') [[17.871622]]
('N113', 'N196') [[17.871616]]
('N29', 'N162') [[17.871443]]
('N117', 'N204') [[17.87144]]
('N88', 'N154') [[17.87144]]
('N187', 'N199') [[17.871061]]
('N21', 'N56') [[17.871061]]
('N125', 'N206') [[17.87101]]
('N93', 'N249') [[17.870995]]
('N232', 'M0P1') [[17.870878]]
('N34', 'N104') [[17.870867]]
('N186', 'N217') [[17.870644]]
('N7', 'N198') [[17.870611]]
('N15', 'N188') [[17.870565]]
('N159', 'N233') [[17.870497]]
('N89', 'N198') [[17.869936]]
('N18', 'N79') [[17.869856]]
('N27', 'N31') [[17.869364]]
('N79', 'N100') [[17.869295]]
('N91', 'N174') [[17.869139]]
('N8', 'N125') [[17.86856]]
('N72', 'N88') [[17.86848]]
('N131', 'N222') [[17.868177]]
('N44', 'N80') [[17.86814]]
('N61', 'N79') [[17.86796]]
('N33', 'N161') [[17.867645]]
('N202', 'N244') [[17.86764]]
('N48', 'N79') [[17.867573]]
('N197', 'N223') [[17.867517]]
('N76', 'N250') [[17.867481]]
('N78', 'N161') [[17.867443]]
('N175', 'N208') [[17.867277]]
('N201', 'N249') [[17.867224]]
('N150', 'N228') [[17.867002]]
('N29', 'N64') [[17.866884]]
('N35', 'N194') [[17.866873]]
('N91', 'N114') [[17.866686]]
('N117', 'N186') [[17.866623]]
('N151', 'N200') [[17.866531]]
('N113', 'N189') [[17.866371]]
('N13', 'N130') [[17.866354]]
('N32', 'N233') [[17.866222]]
('N153', 'N166') [[17.86618]]
('N105', 'N126') [[17.86613]]
('N148', 'N209') [[17.865927]]
('N58', 'N138') [[17.865896]]
('N145', 'N197') [[17.865694]]
('N33', 'N42') [[17.865606]]
('N28', 'N137') [[17.865507]]
('N33', 'N243') [[17.865152]]
('N40', 'N219') [[17.865004]]
('N150', 'N151') [[17.864964]]
('N17', 'N52') [[17.86428]]
('N131', 'N171') [[17.864191]]
('N131', 'N167') [[17.86414]]
('N14', 'N207') [[17.864082]]
('N114', 'N150') [[17.86403]]
('N54', 'N80') [[17.863974]]
('N20', 'N198') [[17.863974]]
('N145', 'N194') [[17.863836]]
('N79', 'N121') [[17.863796]]
('N32', 'N110') [[17.86377]]
('N190', 'N247') [[17.863382]]
('N1', 'N135') [[17.863352]]
('N31', 'N117') [[17.863348]]
('N46', 'N121') [[17.863121]]
('N3', 'N58') [[17.862793]]
('N137', 'N168') [[17.862707]]
('N138', 'N153') [[17.862658]]
('N85', 'N106') [[17.862564]]
('N62', 'N151') [[17.862503]]
('N127', 'N233') [[17.86244]]
('N64', 'N215') [[17.862286]]
('N113', 'N228') [[17.862272]]
('N54', 'N143') [[17.862246]]
('N150', 'N202') [[17.862106]]
('N44', 'N154') [[17.862062]]
('N21', 'N179') [[17.861778]]
('N15', 'N170') [[17.861673]]
('N30', 'N59') [[17.861631]]
('N103', 'N126') [[17.861486]]
('N73', 'N217') [[17.861465]]
('N66', 'N143') [[17.861338]]
('N68', 'N135') [[17.860989]]
('N145', 'N208') [[17.860807]]
('N66', 'N167') [[17.86071]]
('N22', 'N104') [[17.860592]]
('N186', 'N191') [[17.860584]]
('N100', 'N122') [[17.860567]]
('N27', 'N56') [[17.860533]]
('N136', 'N202') [[17.860464]]
('N81', 'N233') [[17.860395]]
('N103', 'N232') [[17.860363]]
('N165', 'N194') [[17.860125]]
('N184', 'N219') [[17.860077]]
('N147', 'N162') [[17.86005]]
('N178', 'N253') [[17.860022]]
('N180', 'N197') [[17.859808]]
('N122', 'N145') [[17.859657]]
('N217', 'N249') [[17.859568]]
('N114', 'N144') [[17.859375]]
('N225', 'N249') [[17.859337]]
('N22', 'N198') [[17.859276]]
('N1', 'N93') [[17.859241]]
('N28', 'N233') [[17.859137]]
('N150', 'N185') [[17.859108]]
('N18', 'N131') [[17.859093]]
('N33', 'N89') [[17.859028]]
('N176', 'N224') [[17.85888]]
('N55', 'N82') [[17.858873]]
('N64', 'N66') [[17.858856]]
('N166', 'N209') [[17.858671]]
('N114', 'N218') [[17.858664]]
('N15', 'N242') [[17.858538]]
('N232', 'N234') [[17.858452]]
('N79', 'N96') [[17.858053]]
('N32', 'N190') [[17.857883]]
('N45', 'N92') [[17.85786]]
('N72', 'N161') [[17.857857]]
('N3', 'N190') [[17.857828]]
('N145', 'N150') [[17.857794]]
('N60', 'N200') [[17.857744]]
('N110', 'N197') [[17.85763]]
('N71', 'N149') [[17.857393]]
('N113', 'N149') [[17.85739]]
('N88', 'N219') [[17.857353]]
('N79', 'N193') [[17.857258]]
('N104', 'N202') [[17.85719]]
('N130', 'N161') [[17.85714]]
('N119', 'N130') [[17.857067]]
('N76', 'N144') [[17.85692]]
('N24', 'N253') [[17.856674]]
('N78', 'N102') [[17.856607]]
('N93', 'N163') [[17.8565]]
('N58', 'N73') [[17.856476]]
('N32', 'N175') [[17.856436]]
('N82', 'N143') [[17.856224]]
('N37', 'N233') [[17.856012]]
('N6', 'N130') [[17.855915]]
('N122', 'N149') [[17.855848]]
('N162', 'N237') [[17.85574]]
('N55', 'N163') [[17.855642]]
('N27', 'N160') [[17.855446]]
('N3', 'N160') [[17.855444]]
('N15', 'N228') [[17.855392]]
('N174', 'N183') [[17.855291]]
('N167', 'N200') [[17.855223]]
('N8', 'N83') [[17.855219]]
('N126', 'N170') [[17.855175]]
('N176', 'N225') [[17.85506]]
('N1', 'N75') [[17.854677]]
('N131', 'N151') [[17.85462]]
('N64', 'N136') [[17.854376]]
('N92', 'N158') [[17.854277]]
('N113', 'N114') [[17.854256]]
('N173', 'N232') [[17.854244]]
('N150', 'N153') [[17.854237]]
('N68', 'N119') [[17.854141]]
('N232', 'N248') [[17.853981]]
('N150', 'N192') [[17.853807]]
('N98', 'N249') [[17.853647]]
('N116', 'N130') [[17.853596]]
('N119', 'N200') [[17.853529]]
('N223', 'N244') [[17.853207]]
('N55', 'N108') [[17.85318]]
('N223', 'N232') [[17.853079]]
('N33', 'N207') [[17.85307]]
('N131', 'N247') [[17.852901]]
('N23', 'N219') [[17.852882]]
('N45', 'N46') [[17.852877]]
('N33', 'N79') [[17.85264]]
('N64', 'N96') [[17.85256]]
('N92', 'N146') [[17.852282]]
('N88', 'N94') [[17.852182]]
('N130', 'N148') [[17.852003]]
('N145', 'N244') [[17.85189]]
('N81', 'N190') [[17.85177]]
('N18', 'N32') [[17.851572]]
('N7', 'N26') [[17.851503]]
('N235', 'N248') [[17.851463]]
('N116', 'N242') [[17.851322]]
('N131', 'N173') [[17.851305]]
('N88', 'N213') [[17.851284]]
('N131', 'N199') [[17.851118]]
('N47', 'N126') [[17.851095]]
('N45', 'N190') [[17.85105]]
('N26', 'N193') [[17.850927]]
('N64', 'N150') [[17.850529]]
('N198', 'N249') [[17.850416]]
('N65', 'N144') [[17.850365]]
('N51', 'N219') [[17.850363]]
('N33', 'N102') [[17.850357]]
('N34', 'N113') [[17.850248]]
('N187', 'N215') [[17.850245]]
('N11', 'N213') [[17.850151]]
('N91', 'N171') [[17.85005]]
('N117', 'N243') [[17.850033]]
('N78', 'N153') [[17.84966]]
('N184', 'N190') [[17.849537]]
('N135', 'N185') [[17.849415]]
('N193', 'N233') [[17.84933]]
('N71', 'N113') [[17.84921]]
('N181', 'N223') [[17.849056]]
('N89', 'N199') [[17.849022]]
('N30', 'N89') [[17.849007]]
('N203', 'N204') [[17.848886]]
('N197', 'N230') [[17.848879]]
('N14', 'N142') [[17.848717]]
('N62', 'N247') [[17.848698]]
('N51', 'N63') [[17.848566]]
('N98', 'N113') [[17.84848]]
('N36', 'N114') [[17.84841]]
('N76', 'N206') [[17.848398]]
('N27', 'N250') [[17.848259]]
('N55', 'N123') [[17.848211]]
('N18', 'N92') [[17.848166]]
('N62', 'N91') [[17.848064]]
('N79', 'N244') [[17.848053]]
('N32', 'N78') [[17.847933]]
('N149', 'N161') [[17.847885]]
('N27', 'N170') [[17.847727]]
('N215', 'N233') [[17.84748]]
('N73', 'N91') [[17.847338]]
('N46', 'N106') [[17.847279]]
('N30', 'N62') [[17.847235]]
('N3', 'N207') [[17.847233]]
('N57', 'N181') [[17.84717]]
('N223', 'N233') [[17.847155]]
('N16', 'N252') [[17.847033]]
('N150', 'N221') [[17.846912]]
('N119', 'N137') [[17.846859]]
('N197', 'N202') [[17.846624]]
('N76', 'N229') [[17.846268]]
('N22', 'N247') [[17.846106]]
('N55', 'N112') [[17.846064]]
('N16', 'N248') [[17.845984]]
('N18', 'N139') [[17.84593]]
('N4', 'N188') [[17.845673]]
('N3', 'N18') [[17.845621]]
('N125', 'N130') [[17.84558]]
('N43', 'N91') [[17.845573]]
('N153', 'N244') [[17.845572]]
('N184', 'N188') [[17.845339]]
('N15', 'N151') [[17.845264]]
('N202', 'N233') [[17.845053]]
('N32', 'N92') [[17.845032]]
('N59', 'N162') [[17.844913]]
('N154', 'N200') [[17.844795]]
('N18', 'N237') [[17.844711]]
('N106', 'N235') [[17.844625]]
('N49', 'N75') [[17.844597]]
('N71', 'N203') [[17.844229]]
('N3', 'N95') [[17.844202]]
('N69', 'N143') [[17.84412]]
('N21', 'N223') [[17.844097]]
('N221', 'N242') [[17.844074]]
('N123', 'N145') [[17.84406]]
('N26', 'N189') [[17.84401]]
('N17', 'N217') [[17.84389]]
('N206', 'N219') [[17.843647]]
('N126', 'N148') [[17.843533]]
('N34', 'N231') [[17.843212]]
('N123', 'N144') [[17.843155]]
('N18', 'N59') [[17.842817]]
('N29', 'N199') [[17.842785]]
('N68', 'N209') [[17.842775]]
('N106', 'N143') [[17.842758]]
('N113', 'N208') [[17.842716]]
('N102', 'N144') [[17.842474]]
('N84', 'N153') [[17.842377]]
('N35', 'N61') [[17.842274]]
('N92', 'N145') [[17.84218]]
('N57', 'N162') [[17.842161]]
('N59', 'N140') [[17.842066]]
('N181', 'N190') [[17.84171]]
('N206', 'N253') [[17.841642]]
('N43', 'N58') [[17.84148]]
('N119', 'N217') [[17.841362]]
('N45', 'N149') [[17.84132]]
('N204', 'N253') [[17.841305]]
('N89', 'N219') [[17.840765]]
('N73', 'N233') [[17.840744]]
('N143', 'N219') [[17.840723]]
('N71', 'N208') [[17.840681]]
('N32', 'N237') [[17.840534]]
('N150', 'N179') [[17.840523]]
('N21', 'N112') [[17.840265]]
('N103', 'N166') [[17.840145]]
('N96', 'N161') [[17.840126]]
('N145', 'N209') [[17.84011]]
('N3', 'N212') [[17.840103]]
('N78', 'N144') [[17.840002]]
('N21', 'N183') [[17.839895]]
('N13', 'N176') [[17.839834]]
('N73', 'N137') [[17.83981]]
('N173', 'N249') [[17.83977]]
('N27', 'N238') [[17.839674]]
('N3', 'N42') [[17.839672]]
('N88', 'N162') [[17.839542]]
('N26', 'N204') [[17.839506]]
('N68', 'N144') [[17.8395]]
('N39', 'N59') [[17.839378]]
('N179', 'N249') [[17.839237]]
('N166', 'N217') [[17.839134]]
('N62', 'N215') [[17.83898]]
('N29', 'N218') [[17.838667]]
('N102', 'N159') [[17.838636]]
('N59', 'N198') [[17.838606]]
('N1', 'N57') [[17.838518]]
('N158', 'N208') [[17.838467]]
('N138', 'N199') [[17.837996]]
('N55', 'N183') [[17.837955]]
('N22', 'N100') [[17.837914]]
('N45', 'N167') [[17.83789]]
('N14', 'N75') [[17.837727]]
('N31', 'N125') [[17.837711]]
('N34', 'N75') [[17.837704]]
('N66', 'N200') [[17.83769]]
('N153', 'N194') [[17.837656]]
('N14', 'N232') [[17.837547]]
('N36', 'N131') [[17.837543]]
('N56', 'N142') [[17.837479]]
('N33', 'N96') [[17.83742]]
('N73', 'N122') [[17.837326]]
('N119', 'N138') [[17.837276]]
('N1', 'N197') [[17.837185]]
('N8', 'N133') [[17.836843]]
('N66', 'N187') [[17.836807]]
('N153', 'N215') [[17.836618]]
('N54', 'N179') [[17.836533]]
('N51', 'N198') [[17.836502]]
('N17', 'N237') [[17.836456]]
('N78', 'N133') [[17.836163]]
('N22', 'N126') [[17.836092]]
('N26', 'N248') [[17.83598]]
('N115', 'N116') [[17.835918]]
('N55', 'N125') [[17.835888]]
('N170', 'N237') [[17.835861]]
('N81', 'N121') [[17.83586]]
('N109', 'N154') [[17.835773]]
('N113', 'N142') [[17.83575]]
('N83', 'N115') [[17.83566]]
('N249', 'N252') [[17.835623]]
('N15', 'N103') [[17.835503]]
('N191', 'N222') [[17.83537]]
('N60', 'N249') [[17.835135]]
('N195', 'N249') [[17.835016]]
('N35', 'N92') [[17.834974]]
('N35', 'N162') [[17.834969]]
('N15', 'N108') [[17.834948]]
('N219', 'N228') [[17.834936]]
('N143', 'N160') [[17.834846]]
('N252', 'M0P1') [[17.8348]]
('N1', 'N99') [[17.834799]]
('N79', 'N248') [[17.834707]]
('N119', 'N228') [[17.834667]]
('N209', 'N248') [[17.834608]]
('N32', 'N93') [[17.834581]]
('N166', 'N223') [[17.834438]]
('N11', 'N57') [[17.834368]]
('N166', 'N233') [[17.834253]]
('N125', 'N143') [[17.83423]]
('N32', 'N154') [[17.834091]]
('N188', 'N196') [[17.834072]]
('N85', 'N194') [[17.834024]]
('N172', 'N229') [[17.83388]]
('N52', 'N137') [[17.833826]]
('N98', 'N126') [[17.833622]]
('N1', 'N11') [[17.833504]]
('N185', 'N194') [[17.833464]]
('N169', 'N198') [[17.833357]]
('N8', 'N15') [[17.833302]]
('N131', 'N244') [[17.833248]]
('N8', 'N106') [[17.833208]]
('N125', 'N180') [[17.833117]]
('N21', 'N103') [[17.833113]]
('N44', 'N219') [[17.832977]]
('N32', 'N215') [[17.83285]]
('N233', 'N251') [[17.832714]]
('N1', 'N46') [[17.832685]]
('N18', 'N225') [[17.832644]]
('N116', 'N176') [[17.832514]]
('N66', 'N208') [[17.832499]]
('N75', 'N229') [[17.832384]]
('N75', 'N143') [[17.832354]]
('N24', 'N162') [[17.83223]]
('N39', 'N232') [[17.832088]]
('N16', 'N92') [[17.831991]]
('N62', 'N249') [[17.83198]]
('N41', 'N91') [[17.831951]]
('N159', 'N232') [[17.831934]]
('N138', 'N143') [[17.831873]]
('N8', 'N171') [[17.831852]]
('N14', 'N100') [[17.831846]]
('N16', 'N101') [[17.831768]]
('N215', 'N235') [[17.831745]]
('N32', 'N136') [[17.831684]]
('N119', 'N125') [[17.831533]]
('N104', 'N150') [[17.831043]]
('N22', 'N54') [[17.831034]]
('N26', 'N60') [[17.830978]]
('N135', 'N190') [[17.83089]]
('N68', 'N139') [[17.830826]]
('N127', 'N204') [[17.830702]]
('N17', 'N238') [[17.830688]]
('N137', 'N248') [[17.830658]]
('N95', 'N162') [[17.830576]]
('N176', 'N250') [[17.830568]]
('N201', 'N235') [[17.830433]]
('N62', 'N111') [[17.830212]]
('N110', 'N145') [[17.830149]]
('N26', 'N95') [[17.830074]]
('N17', 'N234') [[17.830023]]
('N72', 'N247') [[17.829935]]
('N21', 'N190') [[17.829866]]
('N55', 'N190') [[17.829788]]
('N26', 'N203') [[17.829756]]
('N110', 'N125') [[17.829693]]
('N91', 'N212') [[17.829674]]
('N149', 'N249') [[17.829649]]
('N154', 'N217') [[17.829638]]
('N15', 'N56') [[17.82958]]
('N106', 'N175') [[17.829279]]
('N20', 'N145') [[17.829247]]
('N46', 'N200') [[17.829185]]
('N113', 'N124') [[17.829124]]
('N16', 'N140') [[17.829117]]
('N17', 'N225') [[17.828934]]
('N88', 'N186') [[17.828825]]
('N88', 'N149') [[17.82872]]
('N30', 'N215') [[17.828712]]
('N7', 'N217') [[17.8286]]
('N113', 'N252') [[17.828533]]
('N15', 'N74') [[17.828514]]
('N104', 'N131') [[17.82848]]
('N106', 'N136') [[17.828466]]
('N92', 'N249') [[17.82841]]
('N91', 'N247') [[17.828266]]
('N3', 'M0P1') [[17.82815]]
('N27', 'N226') [[17.828047]]
('N150', 'N247') [[17.82788]]
('N78', 'N219') [[17.82786]]
('N162', 'N185') [[17.827856]]
('N38', 'N219') [[17.827845]]
('N149', 'N202') [[17.827644]]
('N159', 'N173') [[17.827559]]
('N113', 'N187') [[17.82732]]
('N172', 'N179') [[17.827055]]
('N26', 'N153') [[17.827044]]
('N142', 'N167') [[17.827013]]
('N206', 'N233') [[17.827007]]
('N178', 'N232') [[17.826939]]
('N55', 'N144') [[17.82655]]
('N176', 'N242') [[17.82649]]
('N9', 'N27') [[17.826454]]
('N120', 'N133') [[17.826387]]
('N15', 'N174') [[17.826181]]
('N79', 'N136') [[17.826021]]
('N75', 'N155') [[17.825949]]
('N80', 'N161') [[17.825886]]
('N22', 'N116') [[17.825808]]
('N65', 'N126') [[17.82574]]
('N33', 'N76') [[17.825718]]
('N100', 'N202') [[17.825563]]
('N11', 'N181') [[17.825483]]
('N21', 'N79') [[17.825476]]
('N116', 'N247') [[17.825447]]
('N16', 'N194') [[17.82544]]
('N161', 'N234') [[17.825329]]
('N121', 'N150') [[17.825308]]
('N34', 'N145') [[17.825232]]
('N147', 'N176') [[17.825195]]
('N59', 'N213') [[17.825056]]
('N162', 'N163') [[17.825027]]
('N22', 'N225') [[17.824995]]
('N167', 'N244') [[17.82494]]
('N150', 'N226') [[17.824871]]
('N118', 'N176') [[17.82474]]
('N64', 'N180') [[17.824617]]
('N163', 'N183') [[17.824514]]
('N18', 'N154') [[17.824507]]
('N21', 'N25') [[17.824268]]
('N76', 'N217') [[17.824202]]
('N22', 'N146') [[17.824072]]
('N39', 'N55') [[17.82381]]
('N144', 'N252') [[17.823694]]
('N75', 'N243') [[17.823624]]
('N98', 'N176') [[17.82348]]
('N85', 'N204') [[17.823357]]
('N8', 'N127') [[17.823263]]
('N27', 'N52') [[17.823252]]
('N136', 'N153') [[17.82317]]
('N142', 'N252') [[17.822943]]
('N121', 'N139') [[17.822926]]
('N202', 'N234') [[17.82286]]
('N13', 'N200') [[17.822598]]
('N133', 'N153') [[17.822369]]
('N58', 'N249') [[17.822311]]
('N46', 'N80') [[17.822308]]
('N111', 'N232') [[17.822084]]
('N125', 'N167') [[17.821884]]
('N69', 'N75') [[17.82185]]
('N71', 'N102') [[17.821827]]
('N8', 'N124') [[17.821768]]
('N83', 'N188') [[17.821564]]
('N45', 'N78') [[17.821548]]
('N68', 'N92') [[17.821531]]
('N75', 'N154') [[17.82151]]
('N56', 'N59') [[17.82145]]
('N97', 'N199') [[17.82131]]
('N174', 'N208') [[17.821234]]
('N21', 'N142') [[17.821117]]
('N158', 'N181') [[17.820997]]
('N145', 'N167') [[17.820992]]
('N103', 'N209') [[17.820889]]
('N85', 'N116') [[17.820807]]
('N76', 'N115') [[17.820726]]
('N117', 'N147') [[17.820644]]
('N172', 'N242') [[17.820564]]
('N26', 'N34') [[17.82051]]
('N12', 'N29') [[17.820492]]
('N79', 'N203') [[17.820343]]
('N1', 'N22') [[17.82031]]
('N7', 'N183') [[17.82027]]
('N143', 'N170') [[17.820269]]
('N35', 'N89') [[17.819988]]
('N144', 'N154') [[17.819979]]
('N68', 'N184') [[17.819687]]
('N58', 'N162') [[17.819515]]
('N56', 'N180') [[17.819387]]
('N78', 'N196') [[17.819376]]
('N19', 'N26') [[17.819357]]
('N46', 'N55') [[17.819326]]
('N172', 'N199') [[17.819231]]
('N26', 'N131') [[17.819157]]
('N115', 'N209') [[17.819098]]
('N17', 'N173') [[17.819006]]
('N121', 'N137') [[17.818966]]
('N161', 'N180') [[17.818909]]
('N189', 'N253') [[17.818905]]
('N11', 'N87') [[17.818611]]
('N130', 'N143') [[17.818527]]
('N83', 'N126') [[17.818369]]
('N14', 'N52') [[17.81821]]
('N1', 'N196') [[17.818203]]
('N27', 'N84') [[17.818064]]
('N81', 'N219') [[17.817783]]
('N29', 'N98') [[17.817745]]
('N11', 'N243') [[17.817734]]
('N111', 'N253') [[17.817661]]
('N151', 'N172') [[17.817623]]
('N115', 'N174') [[17.81756]]
('N44', 'N161') [[17.817549]]
('N120', 'N158') [[17.81749]]
('N16', 'N145') [[17.81741]]
('N142', 'N179') [[17.817238]]
('N26', 'N83') [[17.817175]]
('N15', 'N72') [[17.817003]]
('N197', 'N204') [[17.816944]]
('N154', 'N166') [[17.816795]]
('N117', 'N203') [[17.816668]]
('N58', 'N228') [[17.816648]]
('N113', 'N155') [[17.816618]]
('N88', 'N233') [[17.816616]]
('N175', 'N197') [[17.816586]]
('N159', 'N174') [[17.816544]]
('N59', 'N187') [[17.816519]]
('N130', 'N155') [[17.816488]]
('N22', 'N191') [[17.816488]]
('N75', 'N206') [[17.816313]]
('N122', 'N251') [[17.81629]]
('N155', 'N209') [[17.816248]]
('N1', 'N115') [[17.81621]]
('N41', 'N72') [[17.816158]]
('N136', 'N161') [[17.816107]]
('N151', 'N249') [[17.815987]]
('N48', 'N215') [[17.815792]]
('N122', 'N209') [[17.81578]]
('N126', 'N214') [[17.81573]]
('N16', 'N181') [[17.815626]]
('N146', 'N228') [[17.815523]]
('N76', 'N194') [[17.815475]]
('N73', 'N130') [[17.815462]]
('N48', 'N68') [[17.81546]]
('N100', 'N162') [[17.81529]]
('N173', 'N209') [[17.815134]]
('N92', 'N121') [[17.815014]]
('N30', 'N83') [[17.81494]]
('N115', 'N249') [[17.814934]]
('N106', 'N180') [[17.814835]]
('N217', 'N220') [[17.81482]]
('N8', 'N197') [[17.814644]]
('N102', 'N198') [[17.8146]]
('N14', 'N78') [[17.814568]]
('N65', 'N137') [[17.814533]]
('N39', 'N45') [[17.814316]]
('N89', 'N184') [[17.8143]]
('N43', 'N144') [[17.814081]]
('N121', 'N130') [[17.813984]]
('N14', 'N93') [[17.813784]]
('N17', 'N175') [[17.813755]]
('N62', 'N92') [[17.813547]]
('N14', 'N77') [[17.81353]]
('N19', 'N93') [[17.813425]]
('N137', 'N253') [[17.813395]]
('N27', 'N168') [[17.813393]]
('N92', 'N170') [[17.813343]]
('N28', 'N217') [[17.813282]]
('N55', 'N91') [[17.813097]]
('N59', 'N185') [[17.813013]]
('N15', 'N140') [[17.812962]]
('N54', 'N89') [[17.812798]]
('N33', 'N234') [[17.812796]]
('N16', 'N187') [[17.812782]]
('N54', 'N103') [[17.812765]]
('N14', 'N200') [[17.812628]]
('N91', 'N229') [[17.812489]]
('N145', 'N153') [[17.812433]]
('N3', 'N238') [[17.812319]]
('N34', 'N167') [[17.812244]]
('N71', 'N80') [[17.812222]]
('N130', 'N146') [[17.812101]]
('N108', 'N166') [[17.81204]]
('N62', 'N166') [[17.812021]]
('N79', 'N175') [[17.81201]]
('N27', 'N199') [[17.811743]]
('N141', 'N249') [[17.811714]]
('N11', 'N80') [[17.81168]]
('N125', 'N161') [[17.811485]]
('N3', 'N184') [[17.811356]]
('N53', 'N190') [[17.810968]]
('N146', 'N191') [[17.810955]]
('N43', 'N126') [[17.810862]]
('N63', 'N185') [[17.810804]]
('N60', 'N161') [[17.81077]]
('N73', 'N165') [[17.81076]]
('N79', 'N131') [[17.810541]]
('N106', 'N179') [[17.810476]]
('N148', 'N219') [[17.810423]]
('N66', 'N96') [[17.810421]]
('N234', 'N242') [[17.810366]]
('N45', 'N173') [[17.810345]]
('N170', 'N249') [[17.810331]]
('N16', 'N63') [[17.81021]]
('N32', 'N188') [[17.810205]]
('N62', 'N124') [[17.810108]]
('N76', 'N78') [[17.8098]]
('N166', 'N216') [[17.809774]]
('N55', 'N96') [[17.809755]]
('N162', 'N225') [[17.809645]]
('N145', 'N204') [[17.8096]]
('N96', 'N125') [[17.809456]]
('N88', 'N249') [[17.809372]]
('N70', 'N72') [[17.809206]]
('N106', 'N251') [[17.808914]]
('N15', 'N41') [[17.80888]]
('N3', 'N215') [[17.808867]]
('N130', 'N191') [[17.808796]]
('N194', 'N222') [[17.808563]]
('N65', 'N198') [[17.808468]]
('N58', 'N244') [[17.808231]]
('N56', 'N98') [[17.80817]]
('N162', 'N186') [[17.808128]]
('N33', 'N191') [[17.80806]]
('N73', 'N119') [[17.807997]]
('N59', 'N136') [[17.807896]]
('N68', 'N218') [[17.807816]]
('N144', 'N198') [[17.807724]]
('N164', 'N229') [[17.807579]]
('N231', 'N232') [[17.80748]]
('N95', 'N126') [[17.80738]]
('N125', 'N228') [[17.807356]]
('N120', 'N149') [[17.80707]]
('N14', 'N231') [[17.807053]]
('N130', 'N131') [[17.806976]]
('N21', 'N68') [[17.806921]]
('N176', 'N231') [[17.806896]]
('N43', 'N72') [[17.806831]]
('N2', 'N150') [[17.80667]]
('N217', 'N235') [[17.806559]]
('N6', 'N103') [[17.806276]]
('N18', 'N58') [[17.80623]]
('N15', 'N222') [[17.806225]]
('N52', 'N55') [[17.806139]]
('N198', 'N235') [[17.806042]]
('N172', 'N253') [[17.805998]]
('N42', 'N68') [[17.805986]]
('N111', 'N209') [[17.805948]]
('N27', 'N251') [[17.805944]]
('N14', 'N157') [[17.805914]]
('N45', 'N158') [[17.80576]]
('N157', 'N197') [[17.805578]]
('N236', 'N242') [[17.805481]]
('N82', 'N242') [[17.805368]]
('N27', 'N187') [[17.805296]]
('N162', 'N183') [[17.805227]]
('N55', 'N60') [[17.805025]]
('N66', 'N209') [[17.80475]]
('N62', 'N170') [[17.804735]]
('N122', 'N253') [[17.804697]]
('N159', 'N204') [[17.804674]]
('N27', 'N213') [[17.8046]]
('N135', 'N177') [[17.804588]]
('N44', 'N152') [[17.804441]]
('N204', 'N219') [[17.804373]]
('N51', 'N162') [[17.80434]]
('N77', 'N138') [[17.804113]]
('N11', 'N186') [[17.804089]]
('N133', 'N191') [[17.80397]]
('N85', 'N232') [[17.80378]]
('N48', 'N121') [[17.803574]]
('N46', 'N196') [[17.803488]]
('N54', 'N225') [[17.803452]]
('N64', 'N159') [[17.803352]]
('N121', 'N180') [[17.803232]]
('N222', 'N244') [[17.80306]]
('N56', 'N153') [[17.802952]]
('N222', 'N249') [[17.802794]]
('N73', 'N105') [[17.802633]]
('N165', 'N176') [[17.802595]]
('N67', 'N176') [[17.802567]]
('N181', 'N199') [[17.80253]]
('N121', 'N225') [[17.80245]]
('N190', 'N215') [[17.802319]]
('N15', 'N31') [[17.802286]]
('N104', 'N232') [[17.802204]]
('N70', 'N143') [[17.802158]]
('N79', 'N218') [[17.802153]]
('N105', 'N198') [[17.801977]]
('N219', 'N220') [[17.801956]]
('N8', 'N26') [[17.801805]]
('N121', 'N174') [[17.801792]]
('N153', 'N174') [[17.80178]]
('N105', 'N176') [[17.80174]]
('N26', 'N46') [[17.801699]]
('N175', 'N204') [[17.80168]]
('N54', 'N199') [[17.80152]]
('N115', 'N215') [[17.801517]]
('N40', 'N232') [[17.80127]]
('N30', 'N197') [[17.801144]]
('N63', 'N64') [[17.80091]]
('N79', 'N160') [[17.800755]]
('N219', 'N248') [[17.800592]]
('N136', 'N199') [[17.80059]]
('N45', 'N153') [[17.80055]]
('N154', 'N202') [[17.800549]]
('N25', 'N26') [[17.800505]]
('N60', 'N231') [[17.800428]]
('N118', 'N190') [[17.800312]]
('N31', 'N130') [[17.800161]]
('N107', 'N166') [[17.800056]]
('N26', 'N252') [[17.800043]]
('N15', 'N143') [[17.800043]]
('N18', 'N165') [[17.799994]]
('N75', 'N244') [[17.799816]]
('N233', 'N242') [[17.799662]]
