('M0P1', 'M0P2') [[39.81325]]
('N204', 'M0P1') [[18.748232]]
('N150', 'N162') [[18.745558]]
('N75', 'N249') [[18.745369]]
('N27', 'N181') [[18.742857]]
('N17', 'N150') [[18.740864]]
('N100', 'N137') [[18.735544]]
('N11', 'N174') [[18.733963]]
('N117', 'N232') [[18.73346]]
('N91', 'N131') [[18.733452]]
('N75', 'N125') [[18.733236]]
('N26', 'N91') [[18.726925]]
('N137', 'N176') [[18.725754]]
('N26', 'N160') [[18.725344]]
('N214', 'N219') [[18.724613]]
('N126', 'N154') [[18.72407]]
('N125', 'N176') [[18.722471]]
('N115', 'N197') [[18.722353]]
('N176', 'N181') [[18.722113]]
('N73', 'N176') [[18.721962]]
('N100', 'N166') [[18.721144]]
('N8', 'N145') [[18.720947]]
('N11', 'N149') [[18.719126]]
('N75', 'N163') [[18.719034]]
('N48', 'N126') [[18.716614]]
('N16', 'N55') [[18.714766]]
('N14', 'N113') [[18.71429]]
('N188', 'N219') [[18.713663]]
('N91', 'N126') [[18.711512]]
('N75', 'N103') [[18.711067]]
('N11', 'N33') [[18.709356]]
('N54', 'N176') [[18.70913]]
('N26', 'N119') [[18.708138]]
('N113', 'N166') [[18.70799]]
('N45', 'N143') [[18.705696]]
('N113', 'N188') [[18.700495]]
('N30', 'N91') [[18.697985]]
('N17', 'N133') [[18.697563]]
('N144', 'N219') [[18.697495]]
('N3', 'N162') [[18.6973]]
('N3', 'N75') [[18.697088]]
('N15', 'N16') [[18.696846]]
('N17', 'N45') [[18.695564]]
('N145', 'N176') [[18.691277]]
('N17', 'N21') [[18.690353]]
('N126', 'N219') [[18.689323]]
('N155', 'N176') [[18.688284]]
('N79', 'N143') [[18.687016]]
('N162', 'N215') [[18.686571]]
('N167', 'N176') [[18.68568]]
('N176', 'N253') [[18.684454]]
('N91', 'N219') [[18.683786]]
('N17', 'N154') [[18.681648]]
('N113', 'N162') [[18.681622]]
('N219', 'N253') [[18.68158]]
('N55', 'N219') [[18.680876]]
('N29', 'N117') [[18.679348]]
('N58', 'N131') [[18.677994]]
('N75', 'N137') [[18.677626]]
('N130', 'N219') [[18.676926]]
('N127', 'N176') [[18.674677]]
('N126', 'N168') [[18.673014]]
('N200', 'N249') [[18.67247]]
('N57', 'N219') [[18.672077]]
('N3', 'N249') [[18.6709]]
('N32', 'N80') [[18.670729]]
('N68', 'N126') [[18.670187]]
('N55', 'N176') [[18.669954]]
('N121', 'N162') [[18.669676]]
('N148', 'N198') [[18.669641]]
('N16', 'N115') [[18.66887]]
('N55', 'N208') [[18.668674]]
('N119', 'N188') [[18.668495]]
('N15', 'N92') [[18.667171]]
('N18', 'N188') [[18.66564]]
('N26', 'N130') [[18.664558]]
('N54', 'N209') [[18.664106]]
('N176', 'N199') [[18.663498]]
('N26', 'N72') [[18.662277]]
('N114', 'N117') [[18.660583]]
('N100', 'N103') [[18.66057]]
('N21', 'N113') [[18.659298]]
('N21', 'N188') [[18.65918]]
('N14', 'N253') [[18.657465]]
('N126', 'N198') [[18.657343]]
('N150', 'N176') [[18.656748]]
('N17', 'N137') [[18.65502]]
('N11', 'N15') [[18.65485]]
('N126', 'N155') [[18.654587]]
('N14', 'N126') [[18.654522]]
('N46', 'N176') [[18.653904]]
('N79', 'N176') [[18.653797]]
('N45', 'N119') [[18.652502]]
('N27', 'N162') [[18.652468]]
('N117', 'N198') [[18.65149]]
('N32', 'N176') [[18.651348]]
('N162', 'N197') [[18.651281]]
('N126', 'N145') [[18.65065]]
('N75', 'N126') [[18.647346]]
('N115', 'N219') [[18.64653]]
('N145', 'N166') [[18.645746]]
('N26', 'N100') [[18.645334]]
('N17', 'N232') [[18.644886]]
('N176', 'N194') [[18.643621]]
('N15', 'N253') [[18.638111]]
('N149', 'N253') [[18.638063]]
('N131', 'N162') [[18.637735]]
('N58', 'N150') [[18.637608]]
('N106', 'N204') [[18.637512]]
('N91', 'N113') [[18.637215]]
('N161', 'N249') [[18.637096]]
('N27', 'N45') [[18.635519]]
('N11', 'N126') [[18.634937]]
('N78', 'N174') [[18.634718]]
('N68', 'N162') [[18.632973]]
('N3', 'N8') [[18.632248]]
('N117', 'N149') [[18.63107]]
('N17', 'N194') [[18.630966]]
('N27', 'N219') [[18.629166]]
('N8', 'N64') [[18.6285]]
('N179', 'N222') [[18.62814]]
('N11', 'N35') [[18.627459]]
('N60', 'N113') [[18.62682]]
('N26', 'N188') [[18.626717]]
('N199', 'N232') [[18.626486]]
('N12', 'N17') [[18.625683]]
('N164', 'N219') [[18.625635]]
('N106', 'N145') [[18.623983]]
('N126', 'N153') [[18.621756]]
('N157', 'N176') [[18.621143]]
('N27', 'N173') [[18.62113]]
('N75', 'N209') [[18.620363]]
('N126', 'N232') [[18.620182]]
('N96', 'N176') [[18.617455]]
('N21', 'N176') [[18.615225]]
('N15', 'N125') [[18.614712]]
('N16', 'N191') [[18.614412]]
('N21', 'N197') [[18.614334]]
('N14', 'N119') [[18.614264]]
('N91', 'N253') [[18.613909]]
('N16', 'N222') [[18.61346]]
('N1', 'N176') [[18.612019]]
('N55', 'N143') [[18.611998]]
('N16', 'N114') [[18.6109]]
('N91', 'N149') [[18.610468]]
('N11', 'N137') [[18.609379]]
('N130', 'N162') [[18.609198]]
('N18', 'N115') [[18.6069]]
('N11', 'N130') [[18.606773]]
('N176', 'N222') [[18.606184]]
('N117', 'N166') [[18.60593]]
('N117', 'N176') [[18.605167]]
('N18', 'N199') [[18.60439]]
('N121', 'N198') [[18.604275]]
('N137', 'N247') [[18.603582]]
('N32', 'N117') [[18.602903]]
('N120', 'N176') [[18.602493]]
('N113', 'N143') [[18.601492]]
('N11', 'N198') [[18.59735]]
('N14', 'N16') [[18.597076]]
('N17', 'N219') [[18.597002]]
('N140', 'N233') [[18.595793]]
('N17', 'N233') [[18.595379]]
('N17', 'N35') [[18.59514]]
('N121', 'N153') [[18.5929]]
('N126', 'N143') [[18.592794]]
('N72', 'N232') [[18.59232]]
('N17', 'N242') [[18.59129]]
('N197', 'N219') [[18.591125]]
('N103', 'N235') [[18.590633]]
('N72', 'N176') [[18.590523]]
('N16', 'N144') [[18.590137]]
('N150', 'N232') [[18.587936]]
('N149', 'N244') [[18.587114]]
('N100', 'N117') [[18.587091]]
('N39', 'N194') [[18.583628]]
('N26', 'N48') [[18.583378]]
('N135', 'N137') [[18.583214]]
('N11', 'N154') [[18.583117]]
('N162', 'N166') [[18.582615]]
('N27', 'N100') [[18.581663]]
('N26', 'N222') [[18.579617]]
('N21', 'N115') [[18.579165]]
('N162', 'N209') [[18.5789]]
('N181', 'N232') [[18.578737]]
('N76', 'N113') [[18.576555]]
('N15', 'N121') [[18.576403]]
('N80', 'N144') [[18.576359]]
('N113', 'N131') [[18.57584]]
('N66', 'N144') [[18.575733]]
('N26', 'N233') [[18.575693]]
('N17', 'N222') [[18.57301]]
('N21', 'N55') [[18.571999]]
('N26', 'N45') [[18.57173]]
('N126', 'N144') [[18.56851]]
('N15', 'N179') [[18.56844]]
('N15', 'N130') [[18.568342]]
('N26', 'N33') [[18.568157]]
('N26', 'N73') [[18.567549]]
('N18', 'N150') [[18.567324]]
('N32', 'N126') [[18.564644]]
('N16', 'N197') [[18.564507]]
('N164', 'N253') [[18.564167]]
('N17', 'N170') [[18.563856]]
('N16', 'N247') [[18.563236]]
('N16', 'N170') [[18.562216]]
('N76', 'N199') [[18.561634]]
('N125', 'N138') [[18.561518]]
('N233', 'N247') [[18.56095]]
('N11', 'N200') [[18.558865]]
('N8', 'N20') [[18.558647]]
('N15', 'N100') [[18.558239]]
('N200', 'N208') [[18.557257]]
('N15', 'N91') [[18.557108]]
('N26', 'N125') [[18.55703]]
('N12', 'N137') [[18.555784]]
('N126', 'N135') [[18.555244]]
('N17', 'N163') [[18.554766]]
('N113', 'N184') [[18.554495]]
('N185', 'N249') [[18.553995]]
('N17', 'N199') [[18.553404]]
('N11', 'N204') [[18.55326]]
('N44', 'N55') [[18.552885]]
('N54', 'N113') [[18.552454]]
('N102', 'N233') [[18.552193]]
('N16', 'N121') [[18.55169]]
('N62', 'N137') [[18.551453]]
('N176', 'N219') [[18.550215]]
('N17', 'N166') [[18.54983]]
('N144', 'N176') [[18.549559]]
('N16', 'N33') [[18.548534]]
('N45', 'N188') [[18.54846]]
('N11', 'N75') [[18.547892]]
('N145', 'N249') [[18.545935]]
('N27', 'N204') [[18.545284]]
('N117', 'N121') [[18.544538]]
('N3', 'N62') [[18.544249]]
('N121', 'N125') [[18.54392]]
('N64', 'N143') [[18.543512]]
('N27', 'N33') [[18.543232]]
('N26', 'N138') [[18.543064]]
('N125', 'N145') [[18.541132]]
('N113', 'N197') [[18.540846]]
('N27', 'N115') [[18.540195]]
('N16', 'N219') [[18.53969]]
('N100', 'N102') [[18.539185]]
('N242', 'N249') [[18.539137]]
('N35', 'N126') [[18.53829]]
('N222', 'N232') [[18.538235]]
('N58', 'N145') [[18.537539]]
('N7', 'N33') [[18.535933]]
('N199', 'N249') [[18.534374]]
('N100', 'N176') [[18.533825]]
('N46', 'N75') [[18.533144]]
('N15', 'N138') [[18.53251]]
('N1', 'N162') [[18.531612]]
('N15', 'N185') [[18.530966]]
('N22', 'N27') [[18.5304]]
('N30', 'N100') [[18.52966]]
('N249', 'N253') [[18.52952]]
('N15', 'N196') [[18.528305]]
('N131', 'N232') [[18.52824]]
('N11', 'N100') [[18.528223]]
('N100', 'N150') [[18.527979]]
('N215', 'N249') [[18.526073]]
('N113', 'N144') [[18.52504]]
('N72', 'N219') [[18.524954]]
('N3', 'N16') [[18.524624]]
('N27', 'N232') [[18.524015]]
('N8', 'N144') [[18.520624]]
('N26', 'N96') [[18.520494]]
('N149', 'N170') [[18.516718]]
('N41', 'N130') [[18.51632]]
('N114', 'N198') [[18.51574]]
('N92', 'N176') [[18.515673]]
('N17', 'N76') [[18.515284]]
